id,type,title,section,must_pass_outcome,verification_evidence
CS-PROD-001,MUST_PASS,One coherent CornerStone service,4. Product Identity and First Value Scenarios,"The product presents a single CornerStone experience. Archive/evidence, connector/action, and intelligence/mission capabilities may have clear internal boundaries, but daily users do not need to understand repository or subsystem boundaries to get value.","First-run UI or product walkthrough showing one service, one navigation model, and clear capability language."
CS-PROD-002,MUST_PASS,Evidence-first operational identity,4. Product Identity and First Value Scenarios,"The product behaves like an evidence-first operational intelligence platform: it preserves information, produces evidence-backed understanding, supports claims, and can lead toward action and learning. It must not feel like only a chatbot, file search app, connector framework, or automation script runner.","End-to-end demo transcript or test walkthrough showing evidence, claim, action, and learning surfaces."
CS-PROD-003,MUST_PASS,"General-purpose use, not logistics-only",4. Product Identity and First Value Scenarios,"The same core loop works without requiring a logistics-specific model. Solution packs may specialize workflows, but the universal core remains domain-agnostic.","Fixture runs or demos across at least three domains using the same artifact, search, claim, mission, and evidence concepts."
CS-PROD-004,MUST_PASS,First value within 10 minutes,4. Product Identity and First Value Scenarios,"Within the first-use flow, CornerStone produces an evidence-backed brief, shows uncertainty or evidence gaps, and offers a next step such as draft claim, save capsule, or open mission.",Timed local/onboarding scenario or recorded UI flow using fixture input.
CS-PROD-005,MUST_PASS,Onboarding guide for first use,4. Product Identity and First Value Scenarios,"The product guides the user through the first useful path: personal messy input → evidence-backed brief → draft claim or saved capsule. The user is not forced to configure connectors, model providers, ontology, or organization policies before seeing value.","Onboarding flow screenshot, browser walkthrough, or E2E test."
CS-PROD-006,MUST_PASS,Mission Control as primary surface,4. Product Identity and First Value Scenarios,"The primary surface acts as Ops Inbox / Mission Control: pending briefs, evidence gaps, missions, tasks, approvals, recommended actions, memory changes, and learning opportunities are visible in one operational surface.","UI walkthrough populated with fixture missions, pending approvals, memory updates, and action cards."
CS-PROD-007,MUST_PASS,Main loop is visible,4. Product Identity and First Value Scenarios,The user can see the product journey: Inbox → Brief → Claim → Action → Learn. Each stage is visible enough that the user understands where the item is in the loop.,Product walkthrough showing a single item progressing through all stages.
CS-PROD-008,MUST_PASS,Product explains its own boundaries,4. Product Identity and First Value Scenarios,"The product explains that source systems remain systems of record where appropriate, while CornerStone is the intelligence, evidence, mission, action-control, and learning layer over them.","Product copy, help page, onboarding card, or admin boundary view."
CS-PROD-009,MUST_PASS,Personal-first adoption without losing organization path,4. Product Identity and First Value Scenarios,"The user can begin in a personal workspace and later promote selected evidence, claims, capsules, or missions into a shared namespace with provenance and governance.",Walkthrough showing private use followed by explicit promotion into organization context.
CS-PROD-010,MUST_PASS,Product remains understandable despite complexity,4. Product Identity and First Value Scenarios,"The user can complete first value and basic mission work through plain product language: workspace, memory, evidence, brief, claim, mission, action, approval, and learn. Advanced governance remains available but not mandatory for the first experience.",Usability review or guided task completion with no admin setup beyond defaults.
CS-ARCH-001,MUST_PASS,Preserve original before processing,"5. Artifact, Archive, and Evidence Foundation Scenarios","CornerStone preserves the original input as an immutable artifact before attempting extraction, summarization, embedding, normalization, or ontology mapping.","Stored artifact record with stable ID, checksum/hash, source, timestamp, and original storage reference."
CS-ARCH-002,MUST_PASS,Derived processing failure does not lose input,"5. Artifact, Archive, and Evidence Foundation Scenarios",The original artifact remains stored and discoverable with a partial/failed derived-processing status. The user sees a helpful explanation and can retry or reprocess later.,Fixture with intentionally failing derived processor; original remains accessible.
CS-ARCH-003,MUST_PASS,Stable identity and deduplication,"5. Artifact, Archive, and Evidence Foundation Scenarios",CornerStone recognizes unchanged content through stable identifiers or hashes and avoids creating conflicting duplicate truth. Changed content is versioned or recorded as a distinct artifact with lineage.,Re-ingestion test showing same ID for identical content or explicit version/link for changed content.
CS-ARCH-004,MUST_PASS,Provenance is always attached,"5. Artifact, Archive, and Evidence Foundation Scenarios","The user can inspect where it came from, when it was created or ingested, what transformed it, and which source or connector produced it.","Provenance panel, API response, or exported evidence bundle."
CS-ARCH-005,MUST_PASS,Unknown input is still archived,"5. Artifact, Archive, and Evidence Foundation Scenarios","CornerStone still stores the immutable original, marks the format/derived state accurately, and allows later parser support without requiring re-upload from the user.",Unknown-format fixture with preserved original and deferred processing status.
CS-ARCH-006,MUST_PASS,Redaction before durable generated knowledge,"5. Artifact, Archive, and Evidence Foundation Scenarios","Secrets are redacted before generated drafts, memory entries, evidence summaries, logs, screenshots, or reports persist or display them unnecessarily. Raw original access remains controlled by policy.",Secret-containing fixture; generated outputs and logs show redacted values.
CS-ARCH-007,MUST_PASS,Untrusted content cannot instruct the system,"5. Artifact, Archive, and Evidence Foundation Scenarios","CornerStone treats the document as untrusted evidence. It may summarize or cite the content, but it does not follow embedded instructions or trigger tools/actions from the document.",Prompt-injection fixture showing blocked tool/action execution and correct untrusted labeling.
CS-ARCH-008,MUST_PASS,Search results can become evidence,"5. Artifact, Archive, and Evidence Foundation Scenarios","The query, filters, result snapshot, and relevant artifacts can be attached to an Evidence Bundle so the claim is reproducible.",Claim evidence bundle containing stored search query and result references.
CS-ARCH-009,MUST_PASS,Evidence can link to original and derived representations,"5. Artifact, Archive, and Evidence Foundation Scenarios",The user can open both the derived representation and the original source that supports the evidence.,Evidence viewer showing original plus derived text/metadata.
CS-ARCH-010,MUST_PASS,Archive supports personal and organization namespaces,"5. Artifact, Archive, and Evidence Foundation Scenarios","The artifacts remain isolated by owner-scoped namespace. Search, evidence, memory, and claims use only the active workspace context unless explicitly promoted, referenced, or allowed.",Namespace search test showing no unintended cross-namespace results.
CS-ARCH-011,MUST_PASS,Artifact classification affects access,"5. Artifact, Archive, and Evidence Foundation Scenarios","Read, search, summarize, memory extraction, and action use respect classification policy.",Permission tests showing allowed and denied access by role/attribute.
CS-ARCH-012,MUST_PASS,Evidence survives model/provider changes,"5. Artifact, Archive, and Evidence Foundation Scenarios","Existing artifacts, evidence bundles, claims, memories, mission records, and audit logs remain valid and inspectable because they belong to CornerStone, not the LLM provider.",Provider-switch scenario with persisted evidence opening correctly before and after switch.
CS-ARCH-013,MUST_PASS,Archive can reproduce a claim’s basis,"5. Artifact, Archive, and Evidence Foundation Scenarios","CornerStone can reproduce the claim’s basis: source artifacts, search/query snapshots, transformations, model calls or judge records if available, owner approval, and current freshness/validity state.",Reproducible evidence/provenance export for an older claim.
CS-ARCH-014,MUST_PASS,Source systems remain safe during archive ingestion,"5. Artifact, Archive, and Evidence Foundation Scenarios",Ingestion preserves source data as evidence without mutating the source system unless an explicit reviewed Action/Workflow is used.,Connector fixture/live-safe test showing read-only ingestion path and no writeback events.
CS-UND-001,MUST_PASS,Search immediately after ingestion,"6. Search, Understanding, and Ontology Scenarios","CornerStone returns the artifact or derived representation quickly enough for the first-use experience, with relevant snippets and evidence-ready references.",Timed fixture upload and search output.
CS-UND-002,MUST_PASS,Keyword and semantic search cooperate,"6. Search, Understanding, and Ontology Scenarios","CornerStone can retrieve relevant content through keyword and semantic retrieval, while showing enough evidence for the user to inspect why a result was returned.",Search test with exact-match and semantic-match queries.
CS-UND-003,MUST_PASS,Search respects active workspace,"6. Search, Understanding, and Ontology Scenarios",Results come from the active workspace and allowed inherited/referenced context only. CornerStone does not silently mix unrelated namespaces.,Search result comparison across workspaces with controlled fixture data.
CS-UND-004,MUST_PASS,"Artifact viewer shows original, derived, and evidence links","6. Search, Understanding, and Ontology Scenarios","The user can inspect the original artifact, derived text or structured extraction, metadata, source, evidence references, and related claims/missions.",UI walkthrough or API response for artifact detail.
CS-UND-005,MUST_PASS,No forced modeling before value,"6. Search, Understanding, and Ontology Scenarios","CornerStone still produces search results and evidence-backed briefs. Ontology suggestions appear later as optional promotions, not as a prerequisite.",First-use scenario with no preconfigured ontology beyond universal defaults.
CS-UND-006,MUST_PASS,Auto-suggest operational structure,"6. Search, Understanding, and Ontology Scenarios","It suggests candidate objects, links, facts, and events with source evidence and confidence, without automatically treating them as approved ontology truth.",Entity/link suggestion output with evidence and draft status.
CS-UND-007,MUST_PASS,Click-to-promote ontology items,"6. Search, Understanding, and Ontology Scenarios","The user can promote it into the workspace ontology or knowledge graph with evidence, owner, namespace, and trust state preserved.",Promotion scenario creating a durable object/link with evidence.
CS-UND-008,MUST_PASS,Operational map appears after enough evidence,"6. Search, Understanding, and Ontology Scenarios","CornerStone can show an operational map of relevant objects, relationships, timelines, policies, decisions, and workflows. The map must remain evidence-linked and correctable.",Fixture workspace with object explorer/map and evidence links.
CS-UND-009,MUST_PASS,Contradictions are visible,"6. Search, Understanding, and Ontology Scenarios","CornerStone does not silently choose one as truth. It identifies the contradiction, shows competing evidence, and asks for resolution or marks the claim/memory as uncertain.",Contradictory-source fixture and UI/API output showing unresolved conflict.
CS-UND-010,MUST_PASS,Stale context is detectable,"6. Search, Understanding, and Ontology Scenarios",CornerStone marks the item as stale or needing review and does not use it as approved current truth without warning.,Date/version fixture where newer evidence changes status.
CS-UND-011,MUST_PASS,Ontology changes are versioned and reviewable,"6. Search, Understanding, and Ontology Scenarios","CornerStone records the version, diff, impact, affected claims/missions/playbooks, and rollback or migration guidance.",Ontology change event with diff and affected-object list.
CS-UND-012,MUST_PASS,Understanding remains evidence-first across domains,"6. Search, Understanding, and Ontology Scenarios","It can create useful draft structure and briefs, but it must label unsupported inferences and avoid claiming domain-specific certainty without evidence or approved solution-pack rules.","Unknown-domain fixture showing draft suggestions, assumptions, and evidence gaps."
CS-CLAIM-001,MUST_PASS,Conversation is the low-friction work surface,"7. Conversation, Briefs, Claims, and Trust Ladder Scenarios","The user can work naturally in conversation without manually creating a case, mission, ontology, or document first.",Conversation flow where the user reaches a brief and claim without pre-modeling.
CS-CLAIM-002,MUST_PASS,Evidence-backed brief from messy input,"7. Conversation, Briefs, Claims, and Trust Ladder Scenarios","CornerStone produces a concise brief with key points, evidence links, uncertainty, contradictions, and recommended next steps.",Brief output linked to source evidence.
CS-CLAIM-003,MUST_PASS,Conversation-to-structure suggestions,"7. Conversation, Briefs, Claims, and Trust Ladder Scenarios","CornerStone suggests durable outputs such as Mission Card, Knowledge Capsule, Claim, Action Card, Memory, or Playbook Candidate. It does not force conversion.",Conversation transcript with suggested promoted outputs.
CS-CLAIM-004,MUST_PASS,Manual promotion from conversation,"7. Conversation, Briefs, Claims, and Trust Ladder Scenarios","CornerStone creates the chosen durable object with source conversation reference, evidence, owner namespace, trust state, and provenance.",Promoted object detail showing source conversation and evidence bundle.
CS-CLAIM-005,MUST_PASS,Trust ladder is visible,"7. Conversation, Briefs, Claims, and Trust Ladder Scenarios","CornerStone clearly labels the trust state as Draft, Evidence-backed, or Approved. The user can tell what the item can and cannot be used for.",UI/API examples for all three trust states.
CS-CLAIM-006,MUST_PASS,Drafts can exist without evidence but cannot become authority,"7. Conversation, Briefs, Claims, and Trust Ladder Scenarios","The idea may exist as Draft, but it cannot be approved, published as shared truth, or used for autonomous action without sufficient evidence or explicit risk-aware policy.",Attempt to approve unsupported draft is blocked with helpful reason.
CS-CLAIM-007,MUST_PASS,Completed claims require evidence bundles,"7. Conversation, Briefs, Claims, and Trust Ladder Scenarios","CornerStone requires an Evidence Bundle, or blocks the operation and explains what evidence is missing.",Claim approval test with zero evidence denied; claim with evidence allowed.
CS-CLAIM-008,MUST_PASS,Evidence is one-click inspectable,"7. Conversation, Briefs, Claims, and Trust Ladder Scenarios","The user can open supporting evidence in one click or one clear action, including source artifact and relevant excerpt/query/policy/tool result.",UI walkthrough from claim to evidence source.
CS-CLAIM-009,MUST_PASS,Unsupported assertions are labeled,"7. Conversation, Briefs, Claims, and Trust Ladder Scenarios","It labels the statement as assumption, hypothesis, or insufficient evidence instead of presenting it as fact.",Fixture question with insufficient evidence producing correct labeling.
CS-CLAIM-010,MUST_PASS,Claims can become mission inputs,"7. Conversation, Briefs, Claims, and Trust Ladder Scenarios","The claim can become a Mission Goal Contract or action proposal, carrying evidence, risk state, owner namespace, and approval requirements forward.",Claim-to-mission or claim-to-action flow.
CS-CLAIM-011,MUST_PASS,Knowledge Capsules preserve reusable understanding,"7. Conversation, Briefs, Claims, and Trust Ladder Scenarios","The user can save it as a Knowledge Capsule with source evidence, namespace, trust state, freshness, and related claims/missions.",Capsule creation and later retrieval scenario.
CS-CLAIM-012,MUST_PASS,Mission / Decision Cards preserve outcome-oriented work,"7. Conversation, Briefs, Claims, and Trust Ladder Scenarios","CornerStone creates a Mission / Decision Card containing goal, context, evidence, claims, open questions, actions, approvals, outcomes, and learning history.",Mission card view populated from conversation and evidence.
CS-CLAIM-013,MUST_PASS,Human edits become evidence-aware corrections,"7. Conversation, Briefs, Claims, and Trust Ladder Scenarios","CornerStone records the correction, links it to source evidence or owner judgment, and uses it as a learning signal without silently overwriting provenance.",Edit history and learning signal record.
CS-CLAIM-014,MUST_PASS,Share/publish respects trust state,"7. Conversation, Briefs, Claims, and Trust Ladder Scenarios","Recipients can see the trust state, evidence, owner, and whether the item is personal, shared, or organization-approved.",Shared item view across roles.
CS-MEM-001,MUST_PASS,Personal permanent wiki exists,8. Permanent Wiki and Living Memory Scenarios,"CornerStone maintains a living personal permanent wiki representing the user’s context, knowledge, preferences, constraints, projects, relationships, decisions, memories, action history, and growth.",Personal wiki view with source-aware entries and update history.
CS-MEM-002,MUST_PASS,Organization permanent wiki exists,8. Permanent Wiki and Living Memory Scenarios,"CornerStone maintains an organization permanent wiki representing roles, policies, workflows, artifacts, decisions, claims, missions, outcomes, operating culture, and evolving organizational context.",Organization wiki view populated by shared/promoted evidence and missions.
CS-MEM-003,MUST_PASS,"Memory is living synthesis, not raw truth",8. Permanent Wiki and Living Memory Scenarios,"The memory is a synthesized entry with source evidence, freshness, owner, confidence/trust state, and correction history. It is not treated as immutable source truth.",Memory entry showing source references and synthesis metadata.
CS-MEM-004,MUST_PASS,Immutable archive remains truth foundation,8. Permanent Wiki and Living Memory Scenarios,"CornerStone treats the archive/evidence as the durable basis and marks the memory as needing review, stale, contradicted, or corrected.",Conflict fixture where memory is demoted or flagged based on evidence.
CS-MEM-005,MUST_PASS,Auto-synthesized memory with visible source,8. Permanent Wiki and Living Memory Scenarios,"It can add or update a memory automatically, but the user can inspect why it was written and what sources influenced it.",Memory update event with source links and explanation.
CS-MEM-006,MUST_PASS,Memory Sovereignty Center controls memory,8. Permanent Wiki and Living Memory Scenarios,"They can inspect, correct, demote, promote, forget, rollback, disable, or limit memories and decide whether memories can influence answers, actions, routing, or autonomous behavior.",Memory Sovereignty Center walkthrough covering each control.
CS-MEM-007,MUST_PASS,Temporary or no-memory work is possible,8. Permanent Wiki and Living Memory Scenarios,"CornerStone provides a temporary/no-memory mode that prevents the conversation and derived memory from entering the permanent wiki, while still respecting security and audit rules where required.",Temporary session test showing no memory entry created.
CS-MEM-008,MUST_PASS,User can correct what CornerStone believes,8. Permanent Wiki and Living Memory Scenarios,"The owner can correct it. Future answers and missions use the corrected memory, and the old memory remains visible in history or rollback where appropriate.",Before/after response demonstrating corrected memory use.
CS-MEM-009,MUST_PASS,User can forget or rollback memory,8. Permanent Wiki and Living Memory Scenarios,"CornerStone removes or disables the memory from future use according to policy, records the action, and explains whether underlying evidence remains because of archive/audit/retention rules.",Forget/rollback scenario and future retrieval/answer check.
CS-MEM-010,MUST_PASS,Memory freshness is visible,8. Permanent Wiki and Living Memory Scenarios,"CornerStone shows freshness status and either refreshes, asks for review, or avoids using the memory as current fact without warning.",Stale-memory fixture and UI/API response.
CS-MEM-011,MUST_PASS,"Memory can be Draft, Evidence-backed, or Approved",8. Permanent Wiki and Living Memory Scenarios,"The memory has a clear trust state. Draft memory can personalize low-risk conversation, but organization-approved rules or action-driving memories require evidence and governance.",Memory entries in all trust states with allowed/blocked uses.
CS-MEM-012,MUST_PASS,Personal identity memory is not hidden profiling,8. Permanent Wiki and Living Memory Scenarios,"The product presents this as a user-owned permanent wiki, not a hidden psychological profile. The user can inspect and control the entries.",Personal wiki and memory-control UX review.
CS-MEM-013,MUST_PASS,Organization identity memory is governed,8. Permanent Wiki and Living Memory Scenarios,"Organization memory belongs to the organization namespace, respects organization policy, and requires appropriate promotion/approval before becoming organization truth.",Organization memory promotion and approval flow.
CS-MEM-014,MUST_PASS,Memory poisoning is resisted,8. Permanent Wiki and Living Memory Scenarios,"CornerStone does not promote the content into trusted memory without evidence, scope, confidence, and review. Suspicious memory writes are labeled, blocked, or quarantined.",Poisoning fixture with blocked or quarantined memory update.
CS-MEM-015,MUST_PASS,Memory use is explainable in answers,8. Permanent Wiki and Living Memory Scenarios,The user can see which memories or wiki entries influenced the response and can correct or disable them.,“Why this context?” or equivalent memory-use explanation.
CS-MEM-016,MUST_PASS,Product Learning namespace is separate,8. Permanent Wiki and Living Memory Scenarios,Product learning is stored separately from user and organization truth. It can propose improvements but cannot silently rewrite personal or organization memory.,Product learning record isolated from user/org memory stores.
CS-MEM-017,MUST_PASS,Namespace-local adaptation works,8. Permanent Wiki and Living Memory Scenarios,"CornerStone adapts inside that owner namespace when allowed, while product-wide defaults and cross-tenant behavior remain governed and versioned.",Local adaptation scenario with no effect on another namespace.
CS-MEM-018,MUST_PASS,Memory export is understandable,8. Permanent Wiki and Living Memory Scenarios,"CornerStone exports living memory entries with sources, trust state, freshness, corrections, owner namespace, and usage permissions in a comprehensible format.",Memory export file and validation review.
CS-NS-001,MUST_PASS,Every context item has an owner,9. Owner-Scoped Namespaces and Workspace Scenarios,The item has an explicit owner and namespace. It is never ownerless global context.,API/database/UI records showing owner and namespace for each context item.
CS-NS-002,MUST_PASS,Workspace-first separation is visible,9. Owner-Scoped Namespaces and Workspace Scenarios,The active workspace is always clear enough that the user understands which context CornerStone is using.,UI walkthrough showing active workspace and context boundary.
CS-NS-003,MUST_PASS,Context does not cross boundaries automatically,9. Owner-Scoped Namespaces and Workspace Scenarios,"CornerStone does not use personal memory in the organization workspace unless explicitly promoted, referenced, copied with provenance, or allowed by policy.",Cross-namespace isolation test with known personal-only memory.
CS-NS-004,MUST_PASS,Explicit promotion with provenance,9. Owner-Scoped Namespaces and Workspace Scenarios,"The promoted item receives organization ownership/scope, keeps provenance to the original personal item if allowed, carries evidence, and records an audit trail.","Promotion event with source, target, owner, evidence, and audit record."
CS-NS-005,MUST_PASS,"Promotion can copy, reference, or share",9. Owner-Scoped Namespaces and Workspace Scenarios,"CornerStone supports clear modes such as copy with provenance, reference, share, or promote to approved truth, each with different ownership and permission behavior.",Product flow demonstrating at least copy/promote and permission outcomes.
CS-NS-006,MUST_PASS,Organization policies can govern organization spaces,9. Owner-Scoped Namespaces and Workspace Scenarios,"Organization policy can define who can read, write, promote, approve, execute, configure Autopilot, install Agent Packs, or aggregate learning.",Role/policy tests across organization users.
CS-NS-007,MUST_PASS,Personal spaces remain personally owned,9. Owner-Scoped Namespaces and Workspace Scenarios,"Personal items remain under the personal namespace by default, with user-controlled sharing or promotion.",Personal workspace access tests and sharing flow.
CS-NS-008,MUST_PASS,Product learning cannot read user/org truth by default,9. Owner-Scoped Namespaces and Workspace Scenarios,"It can use explicit feedback, benchmark results, opt-in aggregated signals, or redacted/approved data, but it cannot silently consume raw personal or organization truth.",Product-learning policy tests showing denied access without opt-in or approved source.
CS-NS-009,MUST_PASS,Namespace-local Brain Performance Ledger,9. Owner-Scoped Namespaces and Workspace Scenarios,"Each namespace has local brain performance data first. Product-wide aggregation requires opt-in, anonymization/aggregation, policy review, and separation from user/org truth.",Ledger records isolated per namespace; opt-in aggregation test.
CS-NS-010,MUST_PASS,Workspace policy controls model routing,9. Owner-Scoped Namespaces and Workspace Scenarios,"The policy-aware router respects workspace policy, and attempts to use disallowed providers are blocked or rerouted with explanation.",Model routing test with allowed/disallowed provider policies.
CS-NS-011,MUST_PASS,Cross-tenant isolation is enforced,9. Owner-Scoped Namespaces and Workspace Scenarios,Access is denied at product and durable storage layers; no data or metadata leaks.,Tenant isolation tests and denial logs.
CS-NS-012,MUST_PASS,Namespace audit is queryable,9. Owner-Scoped Namespaces and Workspace Scenarios,"CornerStone can show relevant data access, memory writes, promotions, approvals, actions, model routing, agent activity, and learning events.",Namespace audit query/export.
CS-NS-013,MUST_PASS,Workspace deletion/retention is policy-aware,9. Owner-Scoped Namespaces and Workspace Scenarios,"CornerStone follows retention, audit, legal, and evidence constraints; it explains what can be deleted, disabled, retained, or anonymized.",Retention/deletion dry-run or policy output.
CS-NS-014,MUST_PASS,Boundary mistakes are recoverable,9. Owner-Scoped Namespaces and Workspace Scenarios,"CornerStone provides rollback or revocation where possible and records what happened, who accessed it, and what remains due to audit/retention policy.",Mis-promotion rollback scenario.
CS-AUTO-001,MUST_PASS,Workspace Autopilot Modes exist,10. Mission Autonomy and Action Scenarios,"The workspace supports clear modes such as Manual, Assist, Autopilot, and Locked, with understandable behavior differences.",Mode-switch UI/API and behavior tests.
CS-AUTO-002,MUST_PASS,Progressive autonomy ramp,10. Mission Autonomy and Action Scenarios,"CornerStone begins conservatively, demonstrates reliability through briefs, suggestions, internal tasks, and successful playbooks, then recommends Autopilot with a clear reason and mission contract.",Readiness recommendation based on fixture history.
CS-AUTO-003,MUST_PASS,Natural-language Mission Goal Contract,10. Mission Autonomy and Action Scenarios,"CornerStone converts the request into an editable Mission Goal Contract containing goal, scope, allowed actions, forbidden actions, success criteria, stop conditions, review cadence, escalation rules, and evidence expectations.",Generated contract with user-editable structured fields.
CS-AUTO-004,MUST_PASS,Mission Contract authority is explicit,10. Mission Autonomy and Action Scenarios,"The user can see what CornerStone may do, where it may act, what it may not do, what requires escalation, and how to pause or revoke authority.",Mission activation UI/API showing granted scope and restrictions.
CS-AUTO-005,MUST_PASS,Bounded execution autonomy,10. Mission Autonomy and Action Scenarios,"CornerStone executes only allowed actions inside the active owner-scoped workspace and Mission Goal Contract. It escalates high-risk, destructive, cross-namespace, sensitive, or out-of-scope actions.",Mission run with allowed auto-actions and blocked/escalated disallowed actions.
CS-AUTO-006,MUST_PASS,"Risk policy is simple on surface, enforceable underneath",10. Mission Autonomy and Action Scenarios,"The user sees simple governance, while hidden policy evaluates risk categories, action scope, data sensitivity, egress, approvals, and escalation.",Simple UX plus policy decision logs.
CS-AUTO-007,MUST_PASS,Actions use cards,10. Mission Autonomy and Action Scenarios,"The action appears as an Action Card showing goal, evidence, diff, expected impact, policy decision, risk, approval/execution status, and audit link.",Action Card UI/API example.
CS-AUTO-008,MUST_PASS,Dry-run before external or risky action,10. Mission Autonomy and Action Scenarios,"CornerStone performs a dry-run with diff, impact, policy result, and expected external calls before execution unless the mission policy explicitly authorizes a safe low-risk auto-run.",Dry-run record linked to action execution.
CS-AUTO-009,MUST_PASS,Approval required for high-risk actions,10. Mission Autonomy and Action Scenarios,CornerStone requires owner or authorized approver review before execution. Autopilot cannot bypass this requirement.,High-risk action blocked until approval.
CS-AUTO-010,MUST_PASS,Low-risk allowed workflows can auto-run,10. Mission Autonomy and Action Scenarios,CornerStone can execute these actions automatically and record the result in the mission trajectory and audit log.,Low-risk Autopilot action run with audit record.
CS-AUTO-011,MUST_PASS,External writeback goes through Workflow/Action,10. Mission Autonomy and Action Scenarios,"The agent cannot directly write to the system. It must call a Workflow/Action path mediated by policy, dry-run, connector capability, approval rules, execution result, and audit.",Direct write attempt denied; workflow-mediated write path recorded.
CS-AUTO-012,MUST_PASS,ConnectorHub mediates provider actions,10. Mission Autonomy and Action Scenarios,"Provider access, credentials, source policy, projections, declared actions, delivery, retry/quarantine, raw access, and evidence metadata are handled through ConnectorHub-mediated capability, not arbitrary agent code.",Connector action trace showing ConnectorHub boundary and no direct provider credential exposure.
CS-AUTO-013,MUST_PASS,"Mission can pause, stop, or revoke Autopilot",10. Mission Autonomy and Action Scenarios,"The user can pause, stop, revoke, or reduce the mission’s autonomy mode. CornerStone records the event and stops future autonomous actions outside allowed cleanup.",Mission pause/revoke test.
CS-AUTO-014,MUST_PASS,Exceptions are escalated with reason,10. Mission Autonomy and Action Scenarios,"It escalates with a clear reason, recommended resolution, and the minimum required human decision.",Exception scenario with escalation card.
CS-AUTO-015,MUST_PASS,Mission outcome is evaluated,10. Mission Autonomy and Action Scenarios,"CornerStone records the outcome, evidence, judge assessment, owner acceptance/rejection if available, errors, escalations, and lessons.",Mission outcome record and after-action review.
CS-AUTO-016,MUST_PASS,Mission after-action review is generated,10. Mission Autonomy and Action Scenarios,"CornerStone produces a concise After-Action Review and Autonomy Scorecard containing goal, actions taken, evidence used, judge assessment, objective/owner outcome, errors, escalations, lessons learned, reusable memories, candidate playbooks, and rollback/correction options.",After-action review artifact.
