id,type,title,section,must_pass_outcome,verification_evidence
CS-AUTO-017,MUST_PASS,Full audit export is available,10. Mission Autonomy and Action Scenarios,"CornerStone can export a full audit-first report with timeline events, tool calls, policy decisions, evidence, judge outputs, approvals, and action results.",Full audit export from a completed mission.
CS-AUTO-018,MUST_PASS,Autonomy success is outcome-quality oriented,10. Mission Autonomy and Action Scenarios,"It prioritizes real outcome quality over raw autonomy ratio: fewer errors, better evidence coverage, faster safe resolution, fewer repeated explanations, better owner acceptance, and fewer rollback/escalation failures.","Metrics report combining outcome, task, and autonomy signals."
CS-AUTO-019,MUST_PASS,Autonomous action is reversible where possible,10. Mission Autonomy and Action Scenarios,"CornerStone supports rollback, compensation, retry, or explicit “not reversible” explanation, depending on the action type and external system behavior.",Rollback/compensation scenario or non-reversible impact warning.
CS-AUTO-020,REGRESSION_GUARD,Autopilot never acts outside active scope,10. Mission Autonomy and Action Scenarios,"CornerStone never uses Autopilot to operate outside the active owner namespace, mission contract, role contract, connector capability, and policy boundary.",Negative tests for out-of-scope tool/action/data access.
CS-AGENT-001,MUST_PASS,Orchestrator-led agent team,11. Agent Model and Orchestration Scenarios,"The user primarily works with an Orchestrator Agent that plans, delegates to specialist agents, merges results, asks for missing authority, and produces the after-action review.",Mission trace showing Orchestrator plan and specialist delegation.
CS-AGENT-002,MUST_PASS,Specialist agents are visible when useful,11. Agent Model and Orchestration Scenarios,"CornerStone can show specialist roles such as Evidence Agent, Memory Agent, Workflow Agent, Judge Agent, Connector Agent, Policy Agent, and Playbook Agent when relevant, without forcing daily users to manage every agent directly.",Agent activity view in mission trace.
CS-AGENT-003,MUST_PASS,Agent Role Contracts define authority,11. Agent Model and Orchestration Scenarios,"The agent has a role contract defining purpose, responsibilities, allowed tools, forbidden actions, memory scope, evidence requirements, escalation rules, model/provider policy, judge/evaluation rubric, and audit expectations.",Agent contract record and enforcement test.
CS-AGENT-004,MUST_PASS,"Role cards for users, full contracts for operators",11. Agent Model and Orchestration Scenarios,"The daily user sees a simple role card. The operator can inspect the full contract with tools, policy bindings, model rules, evidence requirements, evaluation rubrics, and extension metadata.",User-level and operator-level views.
CS-AGENT-005,MUST_PASS,Agents do not directly mutate truth or source systems,11. Agent Model and Orchestration Scenarios,"The attempt is denied. Agents plan, summarize, judge, and call workflows; durable changes pass through governed product layers.",Forbidden direct mutation test.
CS-AGENT-006,MUST_PASS,Orchestrator explains delegation,11. Agent Model and Orchestration Scenarios,"It can explain why each specialist was used, what evidence or tool it handled, and how its result influenced the final mission outcome.",Mission trace with delegation rationale.
CS-AGENT-007,MUST_PASS,Agent outputs are evidence-labeled,11. Agent Model and Orchestration Scenarios,"The output includes evidence, uncertainty, source references, or an insufficient-evidence label.",Agent output with evidence bundle or gap label.
CS-AGENT-008,MUST_PASS,Agent accountability maps to namespace owner,11. Agent Model and Orchestration Scenarios,"The namespace owner or delegated authority is accountable for granted autonomy; CornerStone is accountable for showing who granted authority, what was allowed, what happened, and how to correct/rollback.","Audit proof linking authority grant, agent work, and owner."
CS-AGENT-009,MUST_PASS,Agent contract survives brain replacement,11. Agent Model and Orchestration Scenarios,"The agent’s role contract, tool scope, evidence rules, memory scope, and audit expectations remain stable; only the inference brain changes.",Provider switch test with same contract enforcement.
CS-AGENT-010,MUST_PASS,Agent contract changes are versioned,11. Agent Model and Orchestration Scenarios,"CornerStone records a versioned diff, impact, migration/rollout guidance, and affected missions or Agent Packs.",Agent contract update diff and audit event.
CS-AGENT-011,MUST_PASS,Prompt-only agent changes cannot silently expand authority,11. Agent Model and Orchestration Scenarios,"The change cannot grant new tools, connector access, memory scope, write permissions, or action authority unless the Agent Role Contract and policy allow it.",Prompt change test with denied authority expansion.
CS-AGENT-012,MUST_PASS,Agent failure produces useful diagnosis,11. Agent Model and Orchestration Scenarios,"CornerStone records the failure, first failing layer if known, impact on the mission, retry/escalation path, and whether the mission can continue.",Agent failure trace and user-facing error.
CS-AGENT-013,MUST_PASS,Agent Pack agents follow workspace activation grants,11. Agent Model and Orchestration Scenarios,Those agents can use only capabilities explicitly activated for the workspace/mission and allowed by ConnectorHub/policy.,Agent Pack activation and denied ungranted capability test.
CS-AGENT-014,MUST_PASS,Agent work is replayable enough for review,11. Agent Model and Orchestration Scenarios,"CornerStone preserves enough trace, evidence, role contracts, model/provider records, tool outputs, policy decisions, and judge results to understand what happened without relying on hidden chain-of-thought.",Mission replay/review record.
CS-BRAIN-001,MUST_PASS,"CornerStone owns the framework, models are replaceable brains","12. Replaceable Brain, Routing, Judging, and Disagreement Scenarios","CornerStone’s durable value remains intact: namespaces, permanent wiki, evidence archive, ontology, mission contracts, agents, workflows, policy, audit, Experience Library, judge records, and promotion ladder.",Provider switch test with existing records still usable.
CS-BRAIN-002,MUST_PASS,Policy-aware model router,"12. Replaceable Brain, Routing, Judging, and Disagreement Scenarios","It routes based on workspace policy, sensitivity, mission type, cost/latency limits, model capability, historical outcome quality, and owner preference.",Routing decision record explaining why a model was selected.
CS-BRAIN-003,MUST_PASS,User/admin override within policy,"12. Replaceable Brain, Routing, Judging, and Disagreement Scenarios",CornerStone allows override when policy permits and blocks or explains when policy forbids it.,Allowed and denied override tests.
CS-BRAIN-004,MUST_PASS,Brain Performance Ledger exists,"12. Replaceable Brain, Routing, Judging, and Disagreement Scenarios","It records provider/model performance by task type, policy, sensitivity, cost, latency, judge quality, tool-use reliability, grounding issues, owner corrections, objective outcomes, and mission success.",Brain Performance Ledger entries and routing influence.
CS-BRAIN-005,MUST_PASS,Static capability registry provides safe baseline,"12. Replaceable Brain, Routing, Judging, and Disagreement Scenarios",CornerStone can use a static model capability registry as a safe baseline until local outcome data is available.,Initial routing decision using baseline registry.
CS-BRAIN-006,MUST_PASS,Brain performance learning is namespace-local first,"12. Replaceable Brain, Routing, Judging, and Disagreement Scenarios",Performance learning stays local to the owner namespace by default. Cross-namespace aggregation requires opt-in and governance.,Isolated ledger and opt-in aggregation scenario.
CS-BRAIN-007,MUST_PASS,Multi-brain ensemble is risk/value triggered,"12. Replaceable Brain, Routing, Judging, and Disagreement Scenarios","CornerStone uses or recommends multiple brains for planning, critique, judging, or verification, and records which brains contributed.",Ensemble trigger scenario with model contribution records.
CS-BRAIN-008,MUST_PASS,Ensemble is not default for routine work,"12. Replaceable Brain, Routing, Judging, and Disagreement Scenarios","CornerStone normally uses one policy-routed brain rather than unnecessarily invoking multiple providers, unless policy or owner preference says otherwise.",Routine mission route showing single-brain selection.
CS-BRAIN-009,MUST_PASS,LLM-as-judge is primary for ambiguous outcomes,"12. Replaceable Brain, Routing, Judging, and Disagreement Scenarios","CornerStone uses LLM-as-judge as the primary scalable evaluator, with rubric, evidence, confidence, and limitations recorded.",Judge assessment with rubric and evidence references.
CS-BRAIN-010,MUST_PASS,Objective outcomes override judge opinion,"12. Replaceable Brain, Routing, Judging, and Disagreement Scenarios","Objective evidence overrides the judge. The judge result is retained as an evaluation artifact, not truth.",Conflict scenario where objective result determines outcome state.
CS-BRAIN-011,MUST_PASS,Owner acceptance grounds final success,"12. Replaceable Brain, Routing, Judging, and Disagreement Scenarios","Owner acceptance/rejection becomes a grounding signal for learning and mission success, while judge scoring remains supporting evidence.",Owner acceptance flow updating mission outcome.
CS-BRAIN-012,MUST_PASS,Judge outputs do not directly mutate memory or rules,"12. Replaceable Brain, Routing, Judging, and Disagreement Scenarios","The recommendation enters the selective curation/promotion ladder; it does not automatically become approved memory or global rule without scope, evidence, confidence, and governance.","Judge recommendation produces candidate lesson, not approved rule."
CS-BRAIN-013,MUST_PASS,Disagreement uses evidence-weighted adjudication,"12. Replaceable Brain, Routing, Judging, and Disagreement Scenarios","CornerStone compares evidence quality, policy constraints, mission goals, prior brain performance, objective outcomes, and rubrics, chooses a recommended path, and preserves dissent.",Disagreement scenario with adjudication explanation and dissent record.
CS-BRAIN-014,MUST_PASS,High-risk unresolved disagreement escalates,"12. Replaceable Brain, Routing, Judging, and Disagreement Scenarios",CornerStone escalates to the namespace owner or authorized reviewer instead of proceeding silently.,High-risk disagreement escalation card.
CS-BRAIN-015,MUST_PASS,Judge bias and calibration are tracked,"12. Replaceable Brain, Routing, Judging, and Disagreement Scenarios","CornerStone tracks judge disagreement, reversals, owner overrides, calibration issues, and model-specific bias signals in the Brain Performance Ledger or evaluation records.",Evaluation report including judge reliability metrics.
CS-BRAIN-016,MUST_PASS,Provider routing is auditable,"12. Replaceable Brain, Routing, Judging, and Disagreement Scenarios","CornerStone can show policy, sensitivity, cost/latency, capability, local performance, and owner preference factors that shaped the routing decision.",Model routing explanation in mission trace.
CS-LEARN-001,MUST_PASS,Full Mission Trajectory Ledger,"13. Experience, Trajectory Ledger, and Learning Scenarios","CornerStone records the full trajectory: goal, workspace, contract, plan, evidence, actions, tool results, policy decisions, corrections, approvals, outcomes, exceptions, rollback events, cost/time, and extracted lessons.",Mission trajectory record for a sample mission.
CS-LEARN-002,MUST_PASS,Experience Library per workspace,"13. Experience, Trajectory Ledger, and Learning Scenarios","The workspace has an Experience Library where users can browse, search, and inspect past trajectories, outcomes, reviews, recoveries, and lessons.",Experience Library view populated with fixture trajectories.
CS-LEARN-003,MUST_PASS,Past experience can influence new missions visibly,"13. Experience, Trajectory Ledger, and Learning Scenarios","CornerStone can cite relevant past experiences, explain how they influence the plan, and let the user inspect or ignore them.",Similar-experience recommendation with links to prior trajectories.
CS-LEARN-004,MUST_PASS,Store all trajectories as reference corpus,"13. Experience, Trajectory Ledger, and Learning Scenarios",The trajectory is stored as reference experience according to retention and privacy policy. It is not automatically turned into memory/rules.,Failed mission appears in Experience Library as reference.
CS-LEARN-005,MUST_PASS,Selective conversion into memory/rules,"13. Experience, Trajectory Ledger, and Learning Scenarios","It selectively writes, merges, prunes, or proposes the lesson with causal attribution, applicability conditions, confidence, provenance, scope, and rollback.",Candidate lesson record with causal explanation and scope.
CS-LEARN-006,MUST_PASS,Local experience does not become global truth automatically,"13. Experience, Trajectory Ledger, and Learning Scenarios","CornerStone may propose a workspace memory or playbook, but it does not automatically promote the pattern to organization rule, solution pack, or product default without staged approval.","Repeated pattern creates candidate, not global rule."
CS-LEARN-007,MUST_PASS,Promotion ladder is enforced,"13. Experience, Trajectory Ledger, and Learning Scenarios",It follows the ladder: trajectory → observation → candidate lesson → workspace memory → mission playbook → organization-approved rule → solution-pack/product-learning proposal.,Promotion status transitions and approval records.
CS-LEARN-008,MUST_PASS,Behavior signals support but do not outrank outcomes,"13. Experience, Trajectory Ledger, and Learning Scenarios","CornerStone uses behavior signals for personalization and hypotheses, but durable operational learning is grounded in outcomes, owner acceptance, evidence, and trajectory analysis.","Learning record showing behavior signal as supporting, not final authority."
CS-LEARN-009,MUST_PASS,Model self-evaluation supports but does not replace outcome evidence,"13. Experience, Trajectory Ledger, and Learning Scenarios","The signal supports Product Learning or Memory Lab evaluation but does not override real mission outcomes, owner acceptance, policy, or audit evidence.",Evaluation record showing hierarchy of signals.
CS-LEARN-010,MUST_PASS,Lessons include applicability boundaries,"13. Experience, Trajectory Ledger, and Learning Scenarios","The lesson states when it applies, when it should not apply, what evidence supports it, and what confidence or review state it has.",Lesson detail with conditions and anti-conditions.
CS-LEARN-011,MUST_PASS,Bad lessons can be demoted or rolled back,"13. Experience, Trajectory Ledger, and Learning Scenarios","CornerStone can demote, revise, disable, or roll back the lesson and explain which missions/playbooks were affected.",Lesson rollback scenario and affected-scope report.
CS-LEARN-012,MUST_PASS,Product self-improvement is proposal-first globally,"13. Experience, Trajectory Ledger, and Learning Scenarios","Product-wide changes are proposed with evidence, benchmark results, expected impact, versioning, monitoring, and rollback. They do not silently mutate global behavior.",Product improvement proposal and approval/rollout record.
CS-LEARN-013,MUST_PASS,Namespace-local self-improvement can run when enabled,"13. Experience, Trajectory Ledger, and Learning Scenarios","CornerStone can adapt memory ranking, brief style, recurring workflow optimization, onboarding personalization, and preference learning inside that namespace, with visibility and reset controls.",Local adaptation change and reset test.
CS-LEARN-014,MUST_PASS,Outcome quality metrics are visible,"13. Experience, Trajectory Ledger, and Learning Scenarios","The product shows outcome quality metrics supported by task completion and autonomy metrics, without optimizing only for autonomy ratio.",Metrics dashboard/report.
CS-LEARN-015,MUST_PASS,Failure is learning material,"13. Experience, Trajectory Ledger, and Learning Scenarios","CornerStone records the failure, root-cause hypothesis, recovery attempt, and candidate improvement rather than hiding the failure.",Failure trajectory and candidate lesson.
CS-LEARN-016,MUST_PASS,Experience search respects privacy,"13. Experience, Trajectory Ledger, and Learning Scenarios","Results are limited by owner namespace, permissions, retention, classification, and promotion state.",Experience search access-control tests.
CS-LEARN-017,MUST_PASS,Learning from connected-system outcomes,"13. Experience, Trajectory Ledger, and Learning Scenarios","CornerStone re-ingests the outcome as evidence and links it to the mission trajectory, action, and learning record.",Connector outcome event linked to mission and action.
CS-LEARN-018,MUST_PASS,Experience export supports audit and migration,"13. Experience, Trajectory Ledger, and Learning Scenarios","CornerStone exports trajectories, evidence references, judge results, outcomes, lessons, playbooks, and promotion state in a usable format without leaking unauthorized raw content.",Experience export with permission-aware redaction.
CS-EXT-001,MUST_PASS,Universal core with optional solution packs,14. Solution Packs and Extension Ecosystem Scenarios,"The universal core works without packs, while packs accelerate domain-specific missions, templates, playbooks, objects, evidence expectations, and actions.",Core-only and pack-assisted first value demos.
CS-EXT-002,MUST_PASS,Experience-derived playbooks with approval,14. Solution Packs and Extension Ecosystem Scenarios,"CornerStone proposes a playbook update with evidence, trajectory examples, judge review, owner scope, risk, and rollback. It becomes active only after approval at the relevant scope.",Playbook proposal from Experience Library and approval flow.
CS-EXT-003,MUST_PASS,Agent Pack is top-level extension unit,14. Solution Packs and Extension Ecosystem Scenarios,"The extension is represented as an Agent Pack containing role contract, role card, allowed capabilities, tool/connector requirements, memory scope, model policy, judge rubric, playbooks, after-action review template, and evaluation expectations.",Agent Pack manifest or registry detail view.
CS-EXT-004,MUST_PASS,Skill/Tool Packs and Playbook Packs are components,14. Solution Packs and Extension Ecosystem Scenarios,"Those exist as internal or component units, but the top-level user/governance object remains the Agent Pack.",Agent Pack showing included skills/tools/playbooks.
CS-EXT-005,MUST_PASS,Trusted registry first,14. Solution Packs and Extension Ecosystem Scenarios,"CornerStone starts with first-party, organization-private, and curated/certified packs. Public marketplace behavior is not the default trust model.",Registry view with trust source and risk labels.
CS-EXT-006,MUST_PASS,Agent Pack install is separate from activation,14. Solution Packs and Extension Ecosystem Scenarios,Installation only makes the pack available. It receives no mission authority until activated for a specific workspace or mission with explicit capability grants.,Installed-but-inactive pack cannot act.
CS-EXT-007,MUST_PASS,Activation grants are explicit,14. Solution Packs and Extension Ecosystem Scenarios,"Activation shows role card, required connector capabilities, memory scope, allowed actions, model policy, evaluation rubric, risk level, and requested permissions. The owner grants only needed capabilities.",Activation flow and capability grant record.
CS-EXT-008,MUST_PASS,Organization-admin shortcut is controlled,14. Solution Packs and Extension Ecosystem Scenarios,"The shortcut is allowed only under organization policy, remains visible/auditable, and does not bypass capability disclosure or rollback.",Admin activation event and policy record.
CS-EXT-009,MUST_PASS,Agent Pack certification is evidence-backed,14. Solution Packs and Extension Ecosystem Scenarios,"It has an evaluation card covering intended use, required capabilities, risk level, benchmark scenarios, prompt-injection tests, connector/action boundary checks, LLM-judge rubrics, model compatibility, outcome history, audit coverage, version history, and rollback support.",Certification card and scenario results.
CS-EXT-010,MUST_PASS,Human review and outcome history are evidence inputs,14. Solution Packs and Extension Ecosystem Scenarios,"Human review and outcome history contribute to trust, but they do not replace scenario certification and policy checks for autonomous action.",Certification record showing review + outcome + scenario evidence.
CS-EXT-011,MUST_PASS,Versions are pinned by default,14. Solution Packs and Extension Ecosystem Scenarios,The workspace uses a pinned version by default; behavior-changing updates do not silently alter autonomous missions.,Workspace pack version pin and update behavior.
CS-EXT-012,MUST_PASS,Pack updates include diffs and evaluation gates,14. Solution Packs and Extension Ecosystem Scenarios,"CornerStone shows a diff of role contract, capabilities, playbooks, model policy, risk, connector requirements, evaluation results, and migration notes. Owners can test before approving.",Pack update diff and sandbox/canary test.
CS-EXT-013,MUST_PASS,Rollback is available,14. Solution Packs and Extension Ecosystem Scenarios,CornerStone can roll back to the previous pinned version and record affected missions and changes.,Pack rollback scenario.
CS-EXT-014,MUST_PASS,ConnectorHub-mediated access only,14. Solution Packs and Extension Ecosystem Scenarios,"It declares connector, data, and action requirements. ConnectorHub mediates provider access, credentials, source policy, projections, declared actions, delivery, audit, retry/quarantine, and raw access.",Pack connector request mediated by ConnectorHub.
CS-EXT-015,MUST_PASS,Extension-owned credentials are forbidden by default,14. Solution Packs and Extension Ecosystem Scenarios,"CornerStone blocks or quarantines the pack unless it is explicitly in a reviewed, controlled exception path.",Registry validation failure for direct credential/API logic.
CS-EXT-016,MUST_PASS,Emergency security patches are policy-governed,14. Solution Packs and Extension Ecosystem Scenarios,"CornerStone can apply emergency security patch policy with owner visibility, compatibility checks, audit, and rollback. Behavior-changing updates still require appropriate review.",Emergency patch rollout policy test.
CS-SEC-001,MUST_PASS,One-command local/on-prem start,"15. Security, Governance, and Operations Scenarios",The system starts with minimal commands and reaches first successful upload/search/brief within the expected onboarding path.,Fresh environment quickstart log.
CS-SEC-002,MUST_PASS,Default egress deny,"15. Security, Governance, and Operations Scenarios",Egress is denied by default and the denial is recorded with helpful explanation.,External-call denial test and audit/policy log.
CS-SEC-003,MUST_PASS,No arbitrary host/shell access for tools,"15. Security, Governance, and Operations Scenarios",Access is denied unless explicitly granted by policy in a safe runtime boundary.,Sandbox escape/unauthorized access test.
CS-SEC-004,MUST_PASS,RBAC/ABAC enforcement,"15. Security, Governance, and Operations Scenarios","CornerStone enforces access based on role, attributes, namespace, classification, mission authority, and policy.",Access-control matrix tests.
CS-SEC-005,MUST_PASS,Policy decisions explain cause and resolution,"15. Security, Governance, and Operations Scenarios","CornerStone explains the cause and provides a resolution path when safe: request access, change workspace, reduce scope, add evidence, ask approver, or change policy.",Policy denial UI/API examples.
CS-SEC-006,MUST_PASS,Tamper-evident audit ledger,"15. Security, Governance, and Operations Scenarios",Events are logged in a tamper-evident audit ledger with enough detail for review and verification.,Audit log query and tamper-detection test.
CS-SEC-007,MUST_PASS,Prompt injection red-team passes,"15. Security, Governance, and Operations Scenarios","CornerStone treats them as evidence only, prevents tool/action hijacking, and records blocked attempts where relevant.",Prompt-injection regression suite.
CS-SEC-008,MUST_PASS,Secret handling is safe,"15. Security, Governance, and Operations Scenarios","CornerStone redacts or controls them according to policy and never exposes secrets in generated outputs, logs, screenshots, or reports unnecessarily.",Secret fixture redaction tests.
CS-SEC-009,MUST_PASS,Connector credentials remain in ConnectorHub boundary,"15. Security, Governance, and Operations Scenarios",Credentials are not exposed to agents or product outputs. ConnectorHub-mediated credential custody and action declarations are used.,Connector trace without raw secret exposure.
CS-SEC-010,MUST_PASS,Sensitive changes require stop-and-ask,"15. Security, Governance, and Operations Scenarios","CornerStone requires explicit approval and shows risk, impact, and rollback/irreversibility before proceeding.",Approval gate tests for sensitive categories.
CS-SEC-011,MUST_PASS,Human-required verification is explicit,"15. Security, Governance, and Operations Scenarios","CornerStone or the implementation report marks it HUMAN_REQUIRED, explains why AI cannot verify it, states required human action, expected evidence, and release impact.",Scenario verification report with human-required table.
CS-SEC-012,MUST_PASS,Backup and restore preserve evidence and audit,"15. Security, Governance, and Operations Scenarios","Artifacts, search, claims, evidence bundles, memory, missions, actions, Experience Library, and audit integrity remain reproducible after restore.",Backup → restore → search/evidence/audit replay test.
CS-SEC-013,MUST_PASS,Helpful failures,"15. Security, Governance, and Operations Scenarios","The user sees cause, impact, retry options, escalation path, and what remains safe/preserved.",Error fixture outputs for major failure classes.
CS-SEC-014,MUST_PASS,External actions are idempotent where possible,"15. Security, Governance, and Operations Scenarios","CornerStone uses idempotency, retry, timeout, and compensation design where possible, and avoids duplicate real-world side effects.",Retry/idempotency workflow test.
CS-SEC-015,MUST_PASS,Supply-chain trust for tools and extensions,"15. Security, Governance, and Operations Scenarios","CornerStone verifies trusted registry source, signature/attestation/SBOM/provenance where required, version, risk labels, and update metadata before activation.",Registry verification pass/fail tests.
CS-SEC-016,MUST_PASS,Untrusted extensions cannot be activated silently,"15. Security, Governance, and Operations Scenarios",CornerStone blocks activation by default or requires explicit reviewed exception with risk disclosure and limited capabilities.,Untrusted pack activation denial.
CS-SEC-017,MUST_PASS,Data retention is transparent,"15. Security, Governance, and Operations Scenarios","CornerStone explains what is deleted, disabled, retained for audit, retained as immutable evidence, anonymized, or subject to policy.",Retention explanation and state verification.
CS-SEC-018,MUST_PASS,Observability supports operation,"15. Security, Governance, and Operations Scenarios","The product exposes useful status for ingestion, search, model routing, workflow execution, connector health, policy denials, audit integrity, queue retries, and failed missions.",Operator dashboard or status endpoint output.
CS-SEC-019,MUST_PASS,Release reports include scenario verification,"15. Security, Governance, and Operations Scenarios","The final report lists every applicable scenario, verification method, evidence, status, human-required item, failures, gaps, risks, and verdict.",Scenario verification report.
CS-SEC-020,REGRESSION_GUARD,No implementation claim without repo evidence,"15. Security, Governance, and Operations Scenarios","The team reports it as documented target or unverified, not implemented behavior.",Final report distinguishes documented target from current implementation.
CS-REG-001,REGRESSION_GUARD,CornerStone must not regress into a chatbot-only product,16. Long-Term Regression Guard Scenarios,"Evidence, durable memory, claims, missions, actions, audit, and learning remain part of the product loop.",Release scenario walkthrough includes non-chat durable outputs.
CS-REG-002,REGRESSION_GUARD,CornerStone must not regress into file search only,16. Long-Term Regression Guard Scenarios,"Search results can become evidence for claims, actions, memory, missions, or learning.",Search-to-claim/action scenario.
CS-REG-003,REGRESSION_GUARD,CornerStone must not regress into connector infrastructure only,16. Long-Term Regression Guard Scenarios,"Connector capabilities are framed as supporting user/org intelligence, evidence, missions, actions, and audit; not as the product identity.",Connector scenario mediated through mission/action/evidence flow.
CS-REG-004,REGRESSION_GUARD,CornerStone must not become logistics-only,16. Long-Term Regression Guard Scenarios,"Universal core remains usable without logistics concepts, and at least one non-logistics scenario still passes.",General-purpose fixture scenario.
CS-REG-005,REGRESSION_GUARD,Agent memory must not become source of truth,16. Long-Term Regression Guard Scenarios,"Durable archive/evidence, owner-approved memory, and audit remain truth foundations; raw agent memory is not canonical truth.",Memory/evidence conflict test.
CS-REG-006,REGRESSION_GUARD,Personal context must not leak into organization context,16. Long-Term Regression Guard Scenarios,Personal memory is not used in organization answers/actions without explicit promotion or permission.,Cross-namespace leak test.
CS-REG-007,REGRESSION_GUARD,Organization context must not leak into personal context,16. Long-Term Regression Guard Scenarios,Organization memory is not used unless the personal workspace has permission/reference and policy allows it.,Reverse leak test.
CS-REG-008,REGRESSION_GUARD,Product Learning must not become hidden user/org truth,16. Long-Term Regression Guard Scenarios,They remain proposal/evaluation data and do not silently rewrite user or organization memory.,Product learning boundary test.
CS-REG-009,REGRESSION_GUARD,Model provider changes must not break evidence,16. Long-Term Regression Guard Scenarios,"Existing evidence, memories, claims, missions, audit, and experience remain intact and explainable.",Provider swap regression.
CS-REG-010,REGRESSION_GUARD,LLM judge must not become unquestionable authority,16. Long-Term Regression Guard Scenarios,"Objective evidence, owner acceptance/rejection, policy, and audit can override judge output.",Judge conflict scenario.
CS-REG-011,REGRESSION_GUARD,Autopilot must not bypass Mission Goal Contracts,16. Long-Term Regression Guard Scenarios,The action is blocked or escalated.,Out-of-contract action test.
CS-REG-012,REGRESSION_GUARD,Autopilot must not bypass Workspace Mode,16. Long-Term Regression Guard Scenarios,CornerStone does not autonomously execute actions that the mode forbids.,Mode enforcement test.
CS-REG-013,REGRESSION_GUARD,Agents must not expand authority through prompts,16. Long-Term Regression Guard Scenarios,"Authority remains governed by role contract, workspace policy, mission contract, and ConnectorHub capability.",Prompt authority injection test.
CS-REG-014,REGRESSION_GUARD,Agent Packs must not access providers directly,16. Long-Term Regression Guard Scenarios,The pack is blocked or restricted; ConnectorHub remains the provider boundary.,Pack validation test.
CS-REG-015,REGRESSION_GUARD,Experience-derived playbooks must not auto-globalize,16. Long-Term Regression Guard Scenarios,The playbook may be proposed for wider use but does not become global default without approval and staged promotion.,Playbook promotion test.
CS-REG-016,REGRESSION_GUARD,Evidence coverage must not degrade silently,16. Long-Term Regression Guard Scenarios,Evidence requirements and trust states remain visible; unsupported items remain Draft/insufficient-evidence.,Evidence coverage check.
CS-REG-017,REGRESSION_GUARD,Audit coverage must not degrade silently,16. Long-Term Regression Guard Scenarios,Critical events still appear in the audit ledger.,Audit contract tests.
CS-REG-018,REGRESSION_GUARD,Security defaults must remain conservative,16. Long-Term Regression Guard Scenarios,"Default egress deny, no arbitrary shell, tenant isolation, policy checks, redaction, prompt-injection defenses, and approval gates remain intact.",Security regression suite.
CS-REG-019,REGRESSION_GUARD,UX must not expose internal repo split as product model,16. Long-Term Regression Guard Scenarios,"Users experience one CornerStone product with visible capabilities, not repo names as required mental model.",UX/nav review.
CS-REG-020,REGRESSION_GUARD,Scenario verification must remain the release standard,16. Long-Term Regression Guard Scenarios,"The final report includes frozen goal, constraints, scenarios, verification evidence, failures/gaps, and verdict. No PASS without evidence.",Release report review.
