scenario_id,type,scenario_name,local_required,verification_class,verification_owner,verification_command,evidence_artifact,human_required_reason,required_human_action,expected_human_evidence,release_impact,status
VS1-ONT-001,MUST_PASS,Start from search or artifact not modeling,true,UX_ENTRYPOINT,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-001 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-002,MUST_PASS,Built-in universal ontology seed is available,true,UNIVERSAL_ONTOLOGY_SEED,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-002 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-003,MUST_PASS,Generate a complete suggestion set from evidence,true,SUGGESTION_SET_GENERATION,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-003 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-004,MUST_PASS,Object suggestions are explainable,true,OBJECT_SUGGESTION_EXPLAINABILITY,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-004 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-005,MUST_PASS,Property suggestions are explainable,true,PROPERTY_SUGGESTION_EXPLAINABILITY,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-005 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-006,MUST_PASS,Link suggestions are explainable,true,LINK_SUGGESTION_EXPLAINABILITY,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-006 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-007,MUST_PASS,Suggestions expose evidence gaps and uncertainty,true,EVIDENCE_GAP_VISIBILITY,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-007 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-008,MUST_PASS,User can review select reject or defer suggestions,true,USER_REVIEW_CONTROL,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-008 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-009,MUST_PASS,Unpromoted suggestions cannot become ontology truth,true,DRAFT_TRUTH_BOUNDARY,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-009 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-010,MUST_PASS,Promotion is explicit and user-controlled,true,PROMOTION_CONTROL,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-010 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-011,MUST_PASS,Promotion creates a versioned ontology change set,true,CHANGE_SET_VERSIONING,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-011 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-012,MUST_PASS,SemVer bump is meaningful,true,SEMVER_MEANING,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-012 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-013,MUST_PASS,Promoted objects have stable identity and source mapping,true,STABLE_IDENTITY,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-013 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-014,MUST_PASS,Conflicts are visible not silently overwritten,true,CONFLICT_REVIEW,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-014 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-015,MUST_PASS,Promoted object profile is usable,true,OBJECT_PROFILE,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-015 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-016,MUST_PASS,Search integrates promoted objects,true,SEARCH_INTEGRATION,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-016 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-017,MUST_PASS,Artifact Viewer shows extracted/promoted context,true,ARTIFACT_VIEWER_CONTEXT,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-017 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-018,MUST_PASS,Claims can reference promoted ontology context but still require evidence,true,CLAIM_EVIDENCE_COMPATIBILITY,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-018 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-019,MUST_PASS,Actions can show ontology impact without external writeback,true,ACTION_IMPACT_LOCAL_BOUNDARY,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-019 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-020,MUST_PASS,Audit timeline covers the full ontology lifecycle,true,AUDIT_LIFECYCLE,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-020 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-021,MUST_PASS,User can undo or supersede by versioned correction,true,VERSIONED_CORRECTION,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-021 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-022,MUST_PASS,Multi-domain evidence works with the same core,true,MULTI_DOMAIN_GENERALITY,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-022 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-R01,REGRESSION_GUARD,Drop/Search remains first value,true,NO_FORCED_MODELING,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-R01 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-R02,REGRESSION_GUARD,Prompt-injection content cannot promote ontology,true,PROMPT_INJECTION_DEFENSE,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-R02 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-R03,REGRESSION_GUARD,LLM output is not ontology truth,true,LLM_TRUTH_BOUNDARY,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-R03 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-R04,REGRESSION_GUARD,Cross-namespace promotion is denied,true,NAMESPACE_POLICY,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-R04 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-R05,REGRESSION_GUARD,Unsupported or low-confidence candidates stay draft,true,LOW_CONFIDENCE_DRAFT_GUARD,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-R05 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-R06,REGRESSION_GUARD,Duplicate and merge rules do not erase evidence,true,MERGE_EVIDENCE_PRESERVATION,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-R06 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-R07,REGRESSION_GUARD,Existing VS-0 gates remain green,true,VS0_REGRESSION_GATE,AI,make verify-vs0-evux && make verify-vs0-operator-ui,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-R08,REGRESSION_GUARD,Production and live-provider claims remain out of scope,true,OVERCLAIM_GUARD,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-R08 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-R09,REGRESSION_GUARD,Ontology suggestions do not replace Evidence Bundles,true,EVIDENCE_BUNDLE_GUARD,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-R09 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-R10,REGRESSION_GUARD,Helpful failure for invalid ontology graph,true,INVALID_GRAPH_FAILURE,AI,cornerstone scenario verify vs1-ontology-suggest-promote --scenario VS1-ONT-R10 --json,reports/scenario/vs1-ontology-suggest-promote-2026-06-15.json,,,,,PASS
VS1-ONT-H01,HUMAN_REQUIRED,Human operator accepts or rejects VS-1 UX,false,HUMAN_UX_ACCEPTANCE,Human,,docs/scenario-contracts/VS1_ONTOLOGY_AUTO_SUGGEST_PROMOTE_CONTRACT.md,Human operator acceptance is subjective.,JiYong/Tars uses VS-1 UI flow and records accept or reject.,Acceptance note with screenshots/recording or issue list.,Blocks product-accepted VS1 UX claim.,HUMAN_REQUIRED
VS1-ONT-H02,HUMAN_REQUIRED,Domain meaning is reviewed by a human when semantic quality matters,false,DOMAIN_SEMANTIC_REVIEW,Human,,docs/scenario-contracts/VS1_ONTOLOGY_AUTO_SUGGEST_PROMOTE_CONTRACT.md,Domain-quality semantics require human/domain-owner judgment.,Domain owner reviews labels relationships and object profiles.,Domain review note with accepted/rejected labels and issues.,Blocks domain-ready VS1 claim for that domain.,HUMAN_REQUIRED
VS1-ONT-H03,HUMAN_REQUIRED,Production/live connector proof remains separate,false,LIVE_PROVIDER_PROOF,Human,,docs/scenario-contracts/VS1_ONTOLOGY_AUTO_SUGGEST_PROMOTE_CONTRACT.md,Live provider verification requires credentials approval and external state.,Human approves and runs live ConnectorHub/provider or production-data test.,Redacted provider transcript approval result and audit refs.,Blocks production/live-provider readiness claim.,HUMAN_REQUIRED
