scenario_id,priority,phase,related_requirements,given,when,then,implementation_area,verification,evidence,pass_fail_criteria,owner,initial_status
"VS3-GATE-001","MUST_PASS","VS3-0","CS-SEC-019; CS-SEC-020; CS-REG-020","A reviewer compares all VS2 final/current reports and scenario JSON artifacts.","The VS3 evidence reconciliation runs.","One canonical current status exists; conflicting VS2 claims are rejected, superseded, or reconciled with exact report paths and hashes.","Evidence reconciliation; release report lint","Run VS3 evidence reconciliation; inspect VS2 JSON summaries; lint claim strings.","Reconciliation JSON, report hashes, rejected/superseded artifact list, final product claim string.","PASS only if one canonical status remains and no report can be used to claim broader readiness; FAIL if contradictory PASS/NOT_VERIFIED signals remain unclassified.","AI","NOT_RUN"
"VS3-GATE-002","MUST_PASS","VS3-0","CS-SEC-019; CS-REG-020","VS3 contract and matrix are frozen.","Documentation verification runs.","Markdown and CSV exist, row counts match, and every row has expected behavior, verification, evidence, pass/fail criteria, owner, and initial status.","Scenario contract; matrix","Run docs verifier and matrix structural checks.","scripts/verify_sot_docs.sh, matrix row-count output, duplicate-ID check.","PASS only if matrix and contract are internally consistent; FAIL on duplicate IDs, missing criteria, or status-bearing contract claims.","AI","NOT_RUN"
"VS3-GATE-003","MUST_PASS","VS3-0","CS-SEC-011; CS-SEC-019; CS-SEC-020","A VS3 local/dev report is generated.","Static report lint runs over changed docs, reports, README, and UI copy.","Report distinguishes VS3-L local/dev assurance from VS3-P production/on-prem candidate and cannot overclaim real IdP, live provider, real network, migration, or human acceptance.","Report lint; claim vocabulary guard","Run static report lint over docs, reports, README, and UI copy touched by VS3.","Overclaim lint report, negative evidence counters, reviewed allowlist if any.","PASS only if forbidden overclaim strings are absent or explicitly historical; FAIL if local proof is described as production/on-prem/live readiness.","AI","NOT_RUN"
"VS3-GATE-004","MUST_PASS","VS3-0","CS-CLI-001; CS-CLI-009; CS-SEC-019","A VS3 verifier or Make target is introduced.","The verifier dry-run/list/coverage path is executed.","cornerstone scenario verify vs3-onprem-trusted-extension --json emits status, counts, per-row evidence, human rows, and gate metadata.","Native scenario verifier","Execute dry-run/list/coverage path before full implementation; validate JSON schema.","CLI transcript, JSON schema validation, coverage matrix.","PASS only if CLI is native and status-neutral before implementation; FAIL if raw scripts replace CLI parity.","AI","NOT_RUN"
"VS3-CTX-001","MUST_PASS","VS3-1","CS-NS-001; CS-SEC-004; VS2-SEC-001","CLI, API, UI, worker, and tool runtime receive the same operation.","The operation is submitted through each surface.","All surfaces derive RequestContext from trusted identity/membership and produce matching context digests and policy outcomes.","TrustedPrincipal; MembershipSnapshot; RequestContext","Run normalized fixture across all surfaces.","CLI/API/UI/worker/tool transcripts, context digest, policy decision ID, audit refs.","PASS only if no surface accepts caller-controlled scope; FAIL on digest mismatch or missing audit refs.","AI","NOT_RUN"
"VS3-CTX-002","MUST_PASS","VS3-1","CS-SEC-004; CS-REG-013; VS2-SEC-002","Caller supplies forged tenant, owner, namespace, role, classification, egress, connector, or tool grant.","Caller invokes protected read, write, policy, tool, connector, model, or action operation.","Forged fields are ignored or denied before protected DB access, egress, connector call, or tool execution.","Scope resolver; anti-forgery validation","Parameterized negative tests for each field and entry point.","Denied responses, zero protected DB rows touched, zero egress, policy/audit refs.","PASS only if every forged-authority path is denied or neutralized; FAIL if any forged value influences authority.","AI","NOT_RUN"
"VS3-CTX-003","MUST_PASS","VS3-1","CS-AUTO-013; CS-EXT-007; VS2-SEC-005","Membership or activation grant is revoked after a prior allow.","The principal retries through cached session, worker, or tool runtime.","New requests deny within the documented revocation window, including cached sessions, workers, and tool runtimes.","Membership store; grant revocation; cache invalidation","Allow -> revoke -> retry test across API, CLI, worker, and pack/tool path.","Before/after decision revisions, cache invalidation record, denial audit, zero post-revocation side effects.","PASS only if stale allow cannot produce data access or side effects; FAIL on stale success beyond documented bound.","AI","NOT_RUN"
"VS3-CTX-004","MUST_PASS","VS3-1","CS-SEC-004; CS-SEC-013; VS2-SEC-003","RequestContext is missing, malformed, expired, conflicted, or unresolvable.","Protected operation reaches gateway, service, worker, CLI, or tool entry point.","Protected operations fail closed with helpful redacted errors and no downstream DB/egress/tool/provider access.","Request validation; fail-closed guard","Fault matrix over gateway, service, worker, CLI, and tool entry points.","Stable exit/status codes, zero downstream counters, sanitized logs, audit refs.","PASS only if no protected boundary is reached; FAIL if any path falls back open.","AI","NOT_RUN"
"VS3-CTX-005","MUST_PASS","VS3-1","CS-NS-003; CS-AUTO-004; CS-AUTO-020","Mission/workspace authority differs from tenant-level membership.","A principal uses memory, connector, model, tool, or action across same-tenant scopes.","Tenant membership alone is insufficient; mission/workspace policy controls memory, connector, model, tool, and action use.","Workspace policy; mission authority","Same-tenant personal/org/project fixture with allowed and denied operations.","Policy decisions, zero implicit context use, allowed promotion provenance, audit refs.","PASS only if namespace/workspace/mission scope is enforced above tenant RLS; FAIL on implicit cross-context use.","AI","NOT_RUN"
"VS3-RLS-001","MUST_PASS","VS3-2","CS-NS-001; CS-ARCH-010; VS2-SEC-004","Active VS0/VS1 durable object families are persisted.","Schema inventory and create/read tests run.","Required tenant, owner, namespace, workspace, classification, provenance, and audit fields exist and are non-null where required.","Postgres schema; domain objects","Schema inventory plus create/read/null-insert tests.","Schema report, failed-null insert transcript, representative API/CLI payloads.","PASS only if every active truth-bearing table is scoped; FAIL on ownerless global truth or nullable required scope.","AI","NOT_RUN"
"VS3-RLS-002","MUST_PASS","VS3-2","CS-NS-011; VS2-SEC-007; VS2-SEC-009","Tenant A and tenant B data exist in every protected table.","Application role reads and queries as tenant A.","Application role can read only authorized tenant rows; tenant-B data and existence metadata remain hidden from tenant A.","Postgres RLS; repository adapters","Two-tenant DB integration matrix using real app role.","SQL transcript, pg_policies inventory, row counts, zero foreign canaries.","PASS only if SELECT/count/join/search paths hide foreign data; FAIL on row, count, ID, cursor, or timing/error leak.","AI","NOT_RUN"
"VS3-RLS-003","MUST_PASS","VS3-2","CS-NS-011; VS2-SEC-008","Application role attempts cross-tenant INSERT, UPDATE, DELETE, bulk mutation, and RETURNING.","Mutation matrix executes.","RLS/WITH CHECK/constraints deny or affect zero unauthorized rows without partial mutation.","RLS write policies; constraints","Database mutation matrix with rollback assertions.","SQLSTATE or neutral API error, before/after snapshots, audit/anomaly event.","PASS only if unauthorized mutations have no effect; FAIL on partial cross-tenant write or revealing error.","AI","NOT_RUN"
"VS3-RLS-004","MUST_PASS","VS3-2","CS-NS-011; VS2-SEC-015; VS2-SEC-017","Pool, retry, worker, scheduled job, and cancellation paths reuse infrastructure.","Parallel tenant tests run with injected failures.","Tenant context is transaction-local or otherwise reset; no request contaminates another request or report.","Connection pool; worker envelopes; scoped caches","Pool stress test with alternating tenants and injected errors/timeouts.","Connection IDs, tenant sequence, reset assertions, parallel report hash stability.","PASS only if repeated parallel tests show zero contamination; FAIL on leaked context or false PASS.","AI","NOT_RUN"
"VS3-RLS-005","MUST_PASS","VS3-2","CS-SEC-012; VS2-SEC-020; VS2-SEC-068","Migration imports known, missing, ambiguous, invalid, and duplicate ownership rows.","Forward migration, failed migration, quarantine, and rollback run.","Known rows migrate deterministically; ambiguous rows quarantine or block; rollback is deterministic; no ownerless truth is created.","Migration; quarantine; rollback","Forward migration, failed migration, quarantine, rollback, and restored-read tests.","Migration report, counts, checksums, quarantine reasons, rollback transcript.","PASS only if data integrity and scope are preserved; FAIL on silent default tenant assignment or destructive migration.","AI","NOT_RUN"
"VS3-RLS-006","MUST_PASS","VS3-2","CS-SEC-012; VS2-SEC-025","Backup, tenant export, full restore, and filtered restore paths run.","Local backup -> restore -> verify suite executes with two tenants.","Backup/restore preserves artifacts, evidence, claims, ontology, policy decisions, audit integrity, RLS policies, and tenant boundaries.","Backup; restore; tenant export","Local backup -> restore -> verify suite with two tenants.","Backup manifest, restored hashes/counts, RLS inventory before/after, audit verify output.","PASS only if restored system reproduces evidence and audit safely; FAIL on missing rows, broken policies, or leaked tenant export.","AI","NOT_RUN"
"VS3-OPA-001","MUST_PASS","VS3-3","CS-SEC-004; VS2-SEC-026","Any protected operation constructs policy input.","Policy input schema tests run.","Policy input schema includes trusted subject, scope, resource, action, classification, mission authority, connector/tool capability, model policy, risk, data scope, and environment.","PolicyInput schema; builders","Contract tests and golden fixtures for every operation family.","Schema file, valid/invalid fixture results, source-of-attribute map, input digest.","PASS only if unknown or caller-authoritative fields fail closed; FAIL on schema drift or unvalidated authority.","AI","NOT_RUN"
"VS3-OPA-002","MUST_PASS","VS3-3","CS-SEC-005; VS2-SEC-006; VS2-SEC-027","OPA/Rego evaluates allow, deny, escalate, undefined, malformed, and conflict cases.","OPA tests and HTTP decision tests run.","PolicyDecision records action, reason codes, safe resolution, bundle revision/hash, decision ID, input digest, tenant/namespace, evidence refs, and audit refs.","OPA/Rego; PolicyDecision","opa test, HTTP decision tests, golden JSON validation.","OPA JSON output, coverage, PolicyDecision fixtures, audit linkage, redaction proof.","PASS only if decisions are deterministic and default deny; FAIL on implicit allow or missing reason/audit refs.","AI","NOT_RUN"
"VS3-OPA-003","MUST_PASS","VS3-3","CS-SEC-004; VS2-SEC-032","OPA service, management APIs, and decision APIs are accessed from allowed and disallowed peers.","Allowed and denied network/container peers call OPA.","OPA is bound to intended interfaces, authenticated/authorized, and management APIs are not anonymously exposed.","OPA service hardening","Network/container tests from allowed and denied peers.","OPA config, listening sockets, authorized success, unauthorized denial, audit/status refs.","PASS only if unauthorized access is denied; FAIL on anonymous policy or data API exposure.","AI","NOT_RUN"
"VS3-OPA-004","MUST_PASS","VS3-3","CS-REG-018; VS2-SEC-041; VS2-SEC-043","Bundle update is valid, invalid, incompatible, stale, or rollback-triggering.","Bundle lifecycle and rollback tests run.","Activation is atomic; invalid bundles fail without replacing last known good; first-start failure fails closed and is visible.","Policy bundle lifecycle","Bundle lifecycle tests and rollback injection.","Active revision before/after, invalid-bundle error, degraded readiness, policy decisions under failure.","PASS only if no invalid policy becomes active; FAIL on stale permissive allow or hidden degraded state.","AI","NOT_RUN"
"VS3-OPA-005","MUST_PASS","VS3-3","CS-SEC-008; VS2-SEC-045","Policy logs include sensitive input or denied data.","Decision logging and audit mirror run.","Decision logging and audit mirror mask secrets/protected values while preserving correlation.","Decision log masking; audit mirror","Secret-canary fixture through allow, deny, and malformed paths.","Decision log sample, CornerStone audit refs, zero secret scanner findings.","PASS only if logs are useful and redacted; FAIL on raw secret or protected payload leak.","AI","NOT_RUN"
"VS3-EGR-001","MUST_PASS","VS3-4","CS-SEC-002; VS2-SEC-051","Tool/runtime has no egress grant and a reachable forbidden sink exists.","Runtime attempts outbound connection.","Runtime/network boundary blocks connection; forbidden sink records zero requests and zero bytes.","Sandbox; egress gateway","Container/process integration test with sink counters.","Denied tool result, sink logs, network counters, policy/audit refs.","PASS only if no packet/request reaches forbidden sink; FAIL if app merely skips call without runtime proof.","AI","NOT_RUN"
"VS3-EGR-002","MUST_PASS","VS3-4","CS-SEC-002; CS-AUTO-012; VS2-SEC-052","Tool/workflow has declared ConnectorHub capability, current approval, policy allow, and mock provider destination.","It calls local mock provider through governed egress path.","Exactly one approved call reaches allowed sink; evidence, connector result, policy, approval, and audit are linked.","ConnectorHub-mediated egress","End-to-end local controlled sink test.","One sink request, sanitized metadata, Action/Workflow/Connector result, decision/audit refs.","PASS only if exactly the declared call occurs; FAIL on missing call, duplicate call, or undeclared call.","AI","NOT_RUN"
"VS3-EGR-003","MUST_PASS","VS3-4","CS-SEC-002; VS2-SEC-054; VS2-SEC-056; VS2-SEC-057","Destination uses URL normalization variants, alternate ports, methods, redirect hops, or DNS rebinding.","Outbound request is attempted.","Every normalized destination and redirect hop is re-authorized; denied addresses are never contacted.","URL normalization; DNS; redirect guard","Table-driven URL, redirect, fake-DNS, IPv4/IPv6 tests.","Per-case decisions, DNS transcript, redirect hop decisions, sink logs, zero denied-address contact.","PASS only if all bypass variants deny safely; FAIL on broadened allowlist or header leak.","AI","NOT_RUN"
"VS3-EGR-004","MUST_PASS","VS3-4","CS-SEC-003; VS2-SEC-058","Tool attempts direct sockets, proxy env, alternate DNS, WebSocket/FTP/SMTP, subprocess, shell, host filesystem, or env access.","Adversarial sandbox suite runs.","Undeclared protocols and host access are blocked by sandbox/capability boundary.","Sandbox capability boundary","Adversarial sandbox suite.","Zero unauthorized connections/processes/files/env reads, denied capability records, runtime audit.","PASS only if no undeclared access succeeds; FAIL on arbitrary host/shell access.","AI","NOT_RUN"
"VS3-EGR-005","MUST_PASS","VS3-4","CS-REG-018; VS2-SEC-064","Egress controller, proxy, sandbox policy, or runtime policy component is down or misconfigured.","Allowed and denied egress cases rerun.","Protected capabilities fail closed; readiness degrades; no fallback direct connection or host access occurs.","Egress fail-closed wiring; readiness","Disable component and rerun allowed/denied cases.","Degraded readiness, denied operations, zero sink/host counters, operator guidance.","PASS only if outage denies safely; FAIL on fallback open or misleading ready state.","AI","NOT_RUN"
"VS3-EGR-006","MUST_PASS","VS3-4","CS-ARCH-007; CS-SEC-007; VS2-SEC-059","Untrusted artifact, connector payload, web page, or tool output asks system to call URL, approve action, or change policy.","Content is processed by agent/workflow.","Content remains untrusted evidence and cannot create egress grants, action approvals, policy changes, or tool execution.","Prompt-injection guard; untrusted evidence label","Prompt-injection fixtures across artifact and connector paths.","Zero tool/action/egress calls, blocked-attempt audit, untrusted label, evidence refs.","PASS only if malicious content produces no authority; FAIL on content-driven authority expansion.","AI","NOT_RUN"
"VS3-CON-001","MUST_PASS","VS3-5","CS-ARCH-001; CS-AUTO-012; CS-EXT-014","ConnectorHub delivers a projection from a read-only source.","Delivery process commits and acks projection.","CornerStone commits immutable Artifact and evidence metadata before ack; crash/retry cannot acknowledge uncommitted source truth.","Projection delivery; Artifact commit","Projection delivery crash/retry fixture.","Artifact ID/hash/provenance, delivery attempt log, ack-after-commit proof, audit refs.","PASS only if ack follows durable commit; FAIL on lost projection or ack-before-commit.","AI","NOT_RUN"
"VS3-CON-002","MUST_PASS","VS3-5","CS-ARCH-014; CS-EXT-014","GitHub connector fixture is installed and used.","Static scan and runtime write-denial tests run.","Connector is read-only: zero write mappings, zero mutation commands, write attempts denied or quarantined.","Connector manifest; action declarations","Static mapping scan plus runtime write-denial tests.","Capability manifest, denied write transcript, zero external mutation counters, audit refs.","PASS only if no write-capable path is exposed; FAIL on mutation mapping or direct write client.","AI","NOT_RUN"
"VS3-CON-003","MUST_PASS","VS3-5","CS-SEC-008; CS-SEC-009; CS-EXT-015","Connector credentials, tokens, provider payloads, or credential-bearing URLs appear in allowed/denied paths.","Secret canary scan runs.","Credentials stay in ConnectorHub; Product outputs use credential references only and redact sensitive payload fields.","Credential custody; redaction","Secret canary scan across CLI, logs, screenshots, reports, audit, and durable state.","Zero secret scanner findings, credential-ref-only payload, redacted sink metadata.","PASS only if raw secrets never appear; FAIL on raw credential exposure.","AI","NOT_RUN"
"VS3-CON-004","MUST_PASS","VS3-5","CS-NS-006; CS-AUTO-012","Source Policy changes for connector, workspace, repo, browser scope, or capture mode.","Policy update, delivery/capture, revoke, and retry run.","SourcePolicySnapshot is tenant/workspace scoped, auditable, revocable, and enforced on next delivery/capture.","SourcePolicySnapshot; delivery guard","Policy update -> delivery/capture -> revoke -> retry fixture.","Snapshot diff, before/after delivery decisions, revoked denial, audit refs.","PASS only if source policy cannot bleed across scopes; FAIL on stale or cross-scope delivery.","AI","NOT_RUN"
"VS3-CON-005","MUST_PASS","VS3-5","CS-PROD-008; CS-SEC-011","WatchAgent/macOS/Chrome capture is enabled in local fixture mode.","Fixture runtime and browser/CLI checks run with pause/revoke.","Capture is consented, bounded, pauseable, revocable, scope-visible, and summary-only where raw capture is disallowed.","WatchAgent; browser capture; consent","Fixture runtime and browser/CLI checks with pause/revoke.","Consent record, scope config, capture summary, pause/revoke transcript, zero disallowed raw output.","PASS only if capture obeys explicit scope and stop controls; FAIL on silent or unbounded capture.","AI/local plus physical-device human where needed","NOT_RUN"
"VS3-CON-006","MUST_PASS","VS3-5","CS-ARCH-007; CS-REG-013","Connector delivery fails, duplicates, returns stale data, or contains prompt injection.","Fault injection and malicious payload fixture runs.","Retry/quarantine is idempotent, evidence-safe, and cannot create memory, policy, action, egress, or authority without product approval.","Retry/quarantine; injection defense","Fault injection and malicious payload fixture.","Retry/quarantine record, zero unauthorized side effects, evidence refs, audit refs.","PASS only if failed/malicious delivery remains contained; FAIL on duplicate truth or side effect.","AI","NOT_RUN"
"VS3-TOOL-001","MUST_PASS","VS3-6","CS-EXT-003; CS-SEC-015","Local sample tool package is built.","Build and manifest/schema verification run.","Package contains manifest, capabilities, file/network/env/model grants, ConnectorHub requirements, risk, version, evaluation rubric, signature, SBOM, and provenance metadata.","Tool package format; manifest; SBOM","Build and manifest/schema verification.","Package artifact, manifest JSON, signature, SBOM, schema validation, audit refs.","PASS only if required metadata exists and validates; FAIL on missing grants, signature, or SBOM.","AI","NOT_RUN"
"VS3-TOOL-002","MUST_PASS","VS3-6","CS-EXT-005; CS-SEC-015","Tool package is registered in local trusted registry.","Registry positive/negative package tests run.","Registry accepts only trusted signed package metadata and rejects unsigned, tampered, stale, revoked, or unknown-source packages.","Trusted registry; signature verification","Registry positive/negative package tests.","Acceptance record, rejection transcripts, signature verification output, registry audit.","PASS only if tampered/untrusted packages are rejected; FAIL on silent trust or unsigned install.","AI","NOT_RUN"
"VS3-TOOL-003","MUST_PASS","VS3-6","CS-EXT-006; CS-SEC-016","Pack/tool is installed but not activated.","Installed-inactive execution attempts run across surfaces.","Install makes package available but gives no mission/workspace authority, connector access, model route, egress, file/env grant, or action capability.","Pack install; activation boundary","Installed-inactive execution attempts across surfaces.","Install record, denied execution transcripts, zero side effects, audit refs.","PASS only if installed package cannot act; FAIL on install-as-activation.","AI","NOT_RUN"
"VS3-TOOL-004","MUST_PASS","VS3-6","CS-EXT-007; CS-AGENT-013","Namespace owner activates a pack/tool for workspace or mission.","Activation dry-run, approval, execution, and revoke test run.","Activation grants are explicit, least-privilege, pinned, reversible, auditable, and tied to policy decision and RequestContext.","Pack activation grant","Activation dry-run, approval, execution, revoke test.","Grant record, policy decision, audit refs, capability list, revocation transcript.","PASS only if only granted capabilities work; FAIL on ungranted capability or hidden activation.","AI","NOT_RUN"
"VS3-TOOL-005","MUST_PASS","VS3-6","CS-SEC-003; CS-EXT-015","Activated tool attempts undeclared file, env, network, shell, model, connector, or memory access.","Runtime sandbox negative suite runs.","Sandbox denies undeclared access and records negative evidence without leaking secrets.","Tool runtime sandbox","Runtime sandbox negative suite.","Denied records, zero file/env/network/process access counters, audit refs, secret scan.","PASS only if every undeclared access is denied; FAIL on sandbox bypass.","AI","NOT_RUN"
"VS3-TOOL-006","MUST_PASS","VS3-6","CS-EXT-011; CS-EXT-012","Pack update is available.","Update dry-run and evaluation gate tests run.","Update shows diff of role contract, capabilities, playbooks, model policy, connector requirements, risk, evaluation results, migration notes, and rollback path before activation.","Pack update; evaluation gate","Update dry-run and evaluation gate tests.","Diff artifact, evaluation result, blocked/approved update transcript, audit refs.","PASS only if behavior-changing update cannot silently activate; FAIL on unreviewed update.","AI","NOT_RUN"
"VS3-TOOL-007","MUST_PASS","VS3-6","CS-EXT-013; CS-EXT-016","Active pack is rolled back or emergency-patched.","Rollback and emergency-patch simulation runs.","Rollback returns to previous pinned version; emergency patch is policy-governed, audited, and does not expand authority without review.","Pack rollback; emergency patch policy","Rollback and emergency-patch simulation.","Previous/new version records, rollback transcript, policy decision, affected mission list.","PASS only if rollback is deterministic and auditable; FAIL on irreversible or authority-expanding patch.","AI","NOT_RUN"
"VS3-OBS-001","MUST_PASS","VS3-7","CS-SEC-018; DS-S10","Operator opens VS3 status.","Fault-injection status tests and CLI/API/UI comparison run.","Status distinguishes Postgres/RLS, OPA, egress, ConnectorHub, tool runtime, registry, audit, backup/restore, migration, and human gates.","Operator status; admin UI","Fault-injection status tests and CLI/API/UI comparison.","observe status JSON, UI/DOM snapshot, component fault results, audit refs.","PASS only if degraded components are visible and scoped; FAIL on misleading green state.","AI","NOT_RUN"
"VS3-OBS-002","MUST_PASS","VS3-7","CS-SEC-006; CS-REG-017","Policy, RLS, egress, connector, tool, action, migration, and human-gate events occur.","Audit contract tests and tamper fixture run.","Audit records are append-only, tamper-evident, tenant-safe, queryable, and link evidence/policy/action refs.","Audit ledger; event inventory","Audit contract tests and tamper fixture.","Event inventory, hash/checkpoint verification, tamper detection failure, query transcript.","PASS only if required event classes are covered; FAIL on missing or mutable critical event.","AI","NOT_RUN"
"VS3-OBS-003","MUST_PASS","VS3-7","CS-SEC-011","Human-gate package is generated for each VS3-H row.","Generate and validate evidence packages.","Package contains scope, why AI cannot verify, required human action, expected evidence, redaction rules, release impact, and blank approval/rejection record.","Human-gate package generator","Generate and validate evidence packages.","Seven package files, schema validation, redaction guidance, no PASS status.","PASS only if packages prepare evidence without marking H rows PASS; FAIL if generated package is treated as human evidence.","AI","NOT_RUN"
"VS3-REG-001","REGRESSION","Final gate","CS-REG-001; CS-REG-002","VS3 changes are applied.","Accepted VS0 gates rerun on same tree.","VS0 Artifact -> Search -> Evidence -> Claim -> Action -> Audit loop still passes on the same tree.","VS0 regression gates","Rerun accepted VS0 gates.","Scenario reports, command transcripts, zero weakened assertions.","PASS only if fresh VS0 reports pass; FAIL on stale report reuse or regression.","AI","NOT_RUN"
"VS3-REG-002","REGRESSION","Final gate","CS-REG-016; CS-REG-018","VS3 changes are applied over accepted VS1 ontology slice.","VS1 gate and cross-scope ontology tests rerun.","VS1 suggestions remain draft until promotion; search/profile/claim/action/audit integration remains green under VS3 policy/RLS boundaries.","VS1 regression gate","Rerun VS1 gate and cross-scope ontology tests.","VS1 scenario report, zero auto-promotions, policy/audit refs.","PASS only if fresh VS1 report passes; FAIL on auto-promotion or cross-scope leakage.","AI","NOT_RUN"
"VS3-REG-003","REGRESSION","Final gate","CS-SEC-007; CS-REG-013","Prompt or connector content claims new authority over tenant, connector, egress, tool, model, memory, policy, or action.","Red-team fixture suite runs.","Authority remains governed by RequestContext, Mission/Agent/Pack contracts, ConnectorHub capability, and policy.","Prompt/authority injection guard","Red-team fixture suite.","Zero authority changes, zero tool/action/egress calls, blocked-attempt audit.","PASS only if prompt cannot expand authority; FAIL on content-driven grant.","AI","NOT_RUN"
"VS3-REG-004","REGRESSION","Final gate","CS-REG-017; CS-REG-020","New pack, connector, model, policy, table, workflow, or tool is introduced.","Coverage and audit mutation tests run.","Audit and scenario coverage cannot silently drop; missing coverage fails gate before release claim.","Scenario coverage; audit coverage","Coverage and audit mutation tests.","Failing omission fixture, passing corrected inventory, matrix coverage output.","PASS only if coverage gates detect omissions; FAIL on silent scenario disappearance.","AI","NOT_RUN"
"VS3-REG-005","REGRESSION","Final gate","CS-SEC-020","Reports, README, UI, help, or release metadata describe VS3.","Static overclaim lint and evidence manifest review run.","Claims do not describe local/dev proof as production, real IdP, live provider, penetration-tested, human-accepted, or migration-ready.","Overclaim guard","Static overclaim lint and evidence manifest review.","Zero overclaim findings, historical-claim allowlist if needed, human-required table.","PASS only if wording is no stronger than evidence; FAIL on unqualified readiness claim.","AI","NOT_RUN"
"VS3-REG-006","REGRESSION","Final gate","CS-PROD-001; CS-REG-019; DS-S09","A normal user opens CornerStone after VS3 admin/security work.","UI/nav review and browser/DOM check run.","Product still appears as one calm CornerStone workspace; connector/tool/policy admin detail is progressively disclosed in admin context.","Product UX; admin separation","UI/nav review and browser/DOM check.","Screenshots/DOM, nav map, absence of repo-name mental model.","PASS only if normal flow remains product-first; FAIL if first value is connector/tool admin setup.","AI plus human UX in H06","NOT_RUN"
"VS3-REG-007","REGRESSION","Final gate","CS-SEC-010; CS-SEC-015","New dependencies, signing tools, sandbox runtime, or registry infrastructure are proposed.","Dependency diff and approval-gate check run.","Supply-chain change is justified, pinned, scanned, and approved where production dependency or security-sensitive gate applies.","Supply-chain review","Dependency diff, lockfile review, approval-gate check.","Diff, version pins, security notes, H01 approval if required.","PASS only if no unapproved production dependency enters; FAIL on broad/churn dependency change.","AI/Human where approval required","NOT_RUN"
"VS3-REG-008","REGRESSION","Final gate","CS-REG-018","Security defaults initialize in fresh, reset, partial-upgrade, or new workspace states.","Fresh/reset/partial-config integration suite runs.","Default egress deny, default policy deny, no arbitrary shell, RLS enforced, activation inactive, and high-risk actions require approval.","Secure defaults","Fresh/reset/partial-config integration suite.","Default config snapshot, denial suite, role/policy inventory, audit refs.","PASS only if conservative defaults hold everywhere; FAIL on permissive default.","AI","NOT_RUN"
"VS3-H01","HUMAN_REQUIRED","Human gate","CS-SEC-010","VS3 architecture adds or changes authz, tenant isolation, durable migration, OPA, sandbox, registry, signing, or production dependencies.","Human architecture/security review occurs.","JiYong/Tars or authorized owner approves architecture, dependency scope, migration/rollback plan, and security ownership.","Architecture approval","Human architecture/security review.","Dated APPROVE/REJECT record with scope, exceptions, rollback owner, dependency decision.","Remains HUMAN_REQUIRED until signed owner evidence exists; blocks VS3-P and security-sensitive implementation gates as applicable.","Human","HUMAN_REQUIRED"
"VS3-H02","HUMAN_REQUIRED","Human gate","CS-SEC-004","Representative production/on-prem topology is ready for adversarial review.","Independent security review and retest occur.","Independent reviewer validates tenant, policy, connector, tool, extension, and egress bypass resistance.","Independent security review","Independent security review and retest.","Signed review, test scope/topology, findings, remediation, retest evidence.","Remains HUMAN_REQUIRED until independent evidence exists; blocks VS3-P.","Human","HUMAN_REQUIRED"
"VS3-H03","HUMAN_REQUIRED","Human gate","CS-SEC-004","Real OIDC/SSO or enterprise identity provider is selected.","Human-approved real IdP test occurs.","Real user/group/role/attribute/revocation mapping is validated without promoting synthetic fixture proof.","Real IdP mapping","Human-approved real IdP test.","Redacted login, mapping, revocation transcript, owner/security approval.","Remains HUMAN_REQUIRED until real IdP evidence exists; blocks VS3-P.","Human","HUMAN_REQUIRED"
"VS3-H04","HUMAN_REQUIRED","Human gate","CS-SEC-002","Target on-prem network, DNS, proxy, firewall, service mesh, and sandbox are available.","Network/security operator review occurs.","Real topology enforces deny-by-default and approved exceptions outside local harness.","Real on-prem network controls","Network/security operator review.","Topology diagram, firewall/proxy/network-policy evidence, packet/log transcript, approval.","Remains HUMAN_REQUIRED until real topology evidence exists; blocks VS3-P.","Human","HUMAN_REQUIRED"
"VS3-H05","HUMAN_REQUIRED","Human gate","CS-SEC-009; CS-AUTO-012","Live ConnectorHub credentials and provider permissions are available.","Approved live-provider rehearsal occurs.","Low-risk read-only or explicitly approved live provider rehearsal succeeds without secret exposure.","Live ConnectorHub/provider rehearsal","Approved live-provider rehearsal.","Redacted provider transcript, approval, ConnectorHub/CornerStone audit refs, result/evidence refs.","Remains HUMAN_REQUIRED until live-provider evidence exists; blocks live readiness claim.","Human","HUMAN_REQUIRED"
"VS3-H06","HUMAN_REQUIRED","Human gate","CS-PROD-010; DS-S10","Human operator uses denial, audit, connector, source-policy, tool registry, activation, and migration/status UX.","Human operator UX/trust review occurs.","Operator accepts or rejects whether boundaries, causes, risks, and recovery paths are understandable and not misleading.","Operator UX/trust review","Human operator UX/trust review.","ACCEPT/REJECT note, screenshots/recording, task outcomes, issue list if rejected.","Remains HUMAN_REQUIRED until human acceptance exists; blocks UX acceptance claim.","Human","HUMAN_REQUIRED"
"VS3-H07","HUMAN_REQUIRED","Human gate","CS-SEC-012","Real or representative production-like data, retention rules, backup tooling, and rollback authority are available.","Human-supervised non-destructive drill occurs.","Migration, backup, restore, rollback, quarantine, RLS, policy, and audit drill passes under approved data rules.","Migration/backup/restore drill","Human-supervised non-destructive drill.","Signed transcript, before/after counts/hashes, restore/rollback result, RLS/policy inventory.","Remains HUMAN_REQUIRED until signed drill evidence exists; blocks migration/restore readiness claim.","Human","HUMAN_REQUIRED"
